,Name,# Stocks,Created,Updated
44,JE_Rolling_DL__01_18_22_v105,487,01/18/22,01/18/22
45,JE_Rolling_DL__01_18_22_v104,494,01/18/22,01/18/22
46,JE_Rolling_DL__12_17_21_v103,772,12/17/21,12/17/21
47,JE_Rolling_DL__12_17_21_v102,486,12/17/21,12/17/21
48,JE_Rolling_DL__12_17_21_v101,484,12/17/21,12/17/21
49,JE_Rolling_DL__12_17_21_v100,487,12/17/21,12/17/21
50,JE_Rolling_DL__12_17_21_v99,494,12/17/21,12/17/21
51,JE_Rolling_DL__11_17_21_v98,772,11/16/21,11/16/21
52,JE_Rolling_DL__11_17_21_v97,486,11/16/21,11/16/21
53,JE_Rolling_DL__11_17_21_v96,484,11/16/21,11/16/21
54,JE_Rolling_DL__11_17_21_v95,487,11/16/21,11/16/21
55,JE_Rolling_DL__11_17_21_v94,494,11/16/21,11/16/21
56,JE_Rolling_DL__09_22_21_v93,772,09/22/21,09/22/21
57,JE_Rolling_DL__09_22_21_v92,486,09/22/21,09/22/21
58,JE_Rolling_DL__09_22_21_v91,484,09/22/21,09/22/21
59,JE_Rolling_DL__09_22_21_v90,487,09/22/21,09/22/21
60,JE_Rolling_DL__09_22_21_v89,494,09/22/21,09/22/21
61,JE_Rolling_DL__09_13_21_v88,772,09/13/21,09/13/21
62,JE_Rolling_DL__09_13_21_v87,486,09/13/21,09/13/21
63,JE_Rolling_DL__09_13_21_v86,484,09/13/21,09/13/21
64,JE_Rolling_DL__09_13_21_v85,487,09/13/21,09/13/21
65,JE_Rolling_DL__09_13_21_v84,494,09/13/21,09/13/21
66,JE_Rolling_DL__08_20_21_v83,772,08/20/21,08/20/21
67,JE_Rolling_DL__08_20_21_v82,486,08/20/21,08/20/21
68,JE_Rolling_DL__08_20_21_v81,484,08/20/21,08/20/21
69,JE_Rolling_DL__08_20_21_v80,487,08/20/21,08/20/21
70,JE_Rolling_DL__08_20_21_v79,494,08/20/21,08/20/21
71,SLE_SmallcapComboLive_07_06_21_v01,60,07/06/21,07/06/21
72,SLE_xxxx__07_06_21_v01,60,07/06/21,07/06/21
73,SLE_CoreL__07_04_21_v01,15,07/04/21,07/04/21
74,JE_Rolling_DL__06_21_21_v77,772,06/20/21,06/20/21
75,JE_Rolling_DL__06_21_21_v76,486,06/20/21,06/20/21
76,JE_Rolling_DL__06_21_21_v75,484,06/20/21,06/20/21
77,JE_Rolling_DL__06_21_21_v74,487,06/20/21,06/20/21
78,JE_Rolling_DL__06_21_21_v73,494,06/20/21,06/20/21
79,JE_Rolling_DL__06_17_21_v72,772,06/17/21,06/17/21
80,JE_Rolling_DL__06_17_21_v71,486,06/17/21,06/17/21
81,JE_Rolling_DL__06_17_21_v70,484,06/17/21,06/17/21
82,JE_Rolling_DL__06_17_21_v69,487,06/17/21,06/17/21
83,JE_Rolling_DL__06_17_21_v68,494,06/17/21,06/17/21
84,JE_Rolling_DL__06_02_21_v67,772,06/02/21,06/02/21
85,JE_Rolling_DL__06_02_21_v66,486,06/02/21,06/02/21
86,JE_Rolling_DL__06_02_21_v65,484,06/02/21,06/02/21
87,JE_Rolling_DL__06_02_21_v64,487,06/02/21,06/02/21
88,JE_Rolling_DL__06_02_21_v63,494,06/02/21,06/02/21
89,JE_Rolling_DL__05_13_21_v62,772,05/13/21,05/13/21
90,JE_Rolling_DL__05_13_21_v61,486,05/13/21,05/13/21
91,JE_Rolling_DL__05_13_21_v60,484,05/13/21,05/13/21
92,JE_Rolling_DL__05_13_21_v59,487,05/13/21,05/13/21
93,JE_Rolling_DL__05_13_21_v58,494,05/13/21,05/13/21
94,JE_Rolling_DL__04_25_21_v57,772,04/25/21,04/25/21
95,JE_Rolling_DL__04_25_21_v56,486,04/25/21,04/25/21
96,JE_Rolling_DL__04_25_21_v55,484,04/25/21,04/25/21
97,JE_Rolling_DL__04_25_21_v53,494,04/25/21,04/25/21
98,JE_Rolling_DL__04_11_21_v52,772,04/11/21,04/11/21
99,JE_Rolling_DL__04_25_21_v54,487,04/11/21,04/25/21
100,JE_Rolling_DL__04_11_21_v48,494,04/11/21,04/11/21
101,JE_Rolling_DL__04_06_21_v47,772,04/06/21,04/06/21
102,JE_Rolling_DL__04_06_21_v46,0,04/06/21,04/06/21
103,JE_Rolling_DL__04_11_21_v51,486,04/04/21,04/11/21
104,JE_Rolling_DL__04_04_21_v43,487,04/04/21,04/04/21
105,JE_Rolling_DL__04_04_21_v42,494,04/04/21,04/04/21
106,JE_Rolling_DL__01_17_21_v41,486,01/17/21,01/17/21
107,JE_Rolling_DL__04_11_21_v50,484,01/17/21,04/11/21
108,JE_Rolling_DL__01_17_21_v39,487,01/17/21,04/04/21
109,JE_Rolling_DL__01_17_21_v38,494,01/17/21,01/17/21
110,SE Kurtis Test_12_08_20_v01,50,12/08/20,12/08/20
111,JE_Rolling_DL__11_24_20_v37,497,11/24/20,11/24/20
112,JE_Rolling_DL__11_24_20_v36,487,11/24/20,11/24/20
113,JE_Rolling_DL__11_24_20_v35,487,11/24/20,11/24/20
114,JE_Rolling_DL__11_24_20_v34,489,11/24/20,11/24/20
115,JE_Rolling_DL__11_24_20_v33,496,11/24/20,11/24/20
116,JE_Rolling_DL__10_29_20_v32,487,10/30/20,10/30/20
117,JE_Rolling_DL__10_29_20_v31,497,10/30/20,10/30/20
118,JE_Rolling_DL__10_29_20_v30,487,10/30/20,10/30/20
119,JE_Rolling_DL__10_29_20_v29,487,10/30/20,10/30/20
120,JE_Rolling_DL__10_29_20_v28,489,10/30/20,10/30/20
121,JE_Rolling_DL__10_29_20_v27,496,10/30/20,10/30/20
122,JE_Rolling_DL__10_20_20_v26,487,10/20/20,10/20/20
123,JE_Rolling_DL__10_20_20_v25,497,10/20/20,10/20/20
124,JE_Rolling_DL__10_20_20_v24,487,10/20/20,10/20/20
